epoch_ms,wallet_label,mint,buy_count,hold_duration_ms,wallet_token_amount,wallet_lamports_spent,wallet_lamports_received,wallet_pnl_sol,our_lamports_spent,our_lamports_received,our_pnl_sol
1784699217834,Doji,ABqagmAMYXEmGL4HGnbP8RBYwV4Vr6wPAj13KibHpump,1,146855,23379827484428,743563192,657062144,-0.086501,754228802.256187,643552189,-0.110677
1784699224169,Doji,2JjfFcZgw1ao5njxnhrQK9waSuysSQWrNqjn5D8ppump,1,1070160,5459529947198,493187994,228165388,-0.265023,517587760.486107,224963447,-0.292624
1784699293789,Doji,5rm11axUtoCmRUvTYGa4st9gfBYA48jukPaR1B9pvLgU,1,19545,5564768224168,441195774,582307409,0.141112,407843029.020264,512331110,0.104488
1784699310829,Doji,5WQqDfdUEgWcbmNcv9QKioVoBtNNrhSSdZSMvf4Rpump,1,6348,4846969966031,450878865,492620904,0.041742,598342945.48085,650229309,0.051886
1784699539281,Doji,GMUV6KXAywaznyjyv6dDwFbUcqxXTjyy6EtzAjQgpump,1,45925,5443703549213,473566570,353627934,-0.119939,531839842.360344,305308804,-0.226531
1784699686252,Doji,37KxT6Dq13oVyATKFfu6HdmogeJ4rhDoKqoCWWDqpump,1,6330,3533554471947,497226910,491265002,-0.005962,464379372.399429,393245910,-0.071133
1784699703648,Doji,CrTpJU3drepc4DfZN5LQhxH6Hamt9bpipceLUAQppump,1,10647,4606502085605,488353033,391354160,-0.096999,473484792.729156,367191865,-0.106293
1784699804863,Doji,3atwWsd6VQST1PsFXmbcRRu45LQBqAo3ZSTubHRXpump,1,28101,5811606261086,455540921,310302948,-0.145238,436736368.750748,204518944,-0.232217
1784699864886,Doji,6Ay1cp8aP6vV5FamesJESrtsyNS6X1a6sz7XQBvqpump,1,53717,4959305101924,477949125,220675239,-0.257274,555841917.849754,220846204,-0.334996
1784699914619,Felix,D4obTQfFNMJAM29uusZsdeheJKEAGTvmJTx8GqdEpump,4,59503,48191076511495,2310094080,997994997,-1.312099,2802247055.129089,973527131,-1.82872
1784699967697,Felix,D4obTQfFNMJAM29uusZsdeheJKEAGTvmJTx8GqdEpump,1,46797,9560555523629,502005000,1189670977,0.687666,453927245.870872,1055173350,0.601246
1784700118935,Doji,6Ay1cp8aP6vV5FamesJESrtsyNS6X1a6sz7XQBvqpump,1,10680,8949034042106,669862646,567922645,-0.10194,631065760.638908,479155098,-0.151911
1784700668731,Doji,eHFE2DFAx11Uc2WboXq8FBuqoqGEkBMv6MYdFVjmHCc,2,13859,8148204925827,918081746,426235471,-0.491846,1147443167.697571,516443446,-0.631
1784700704092,Felix,2c9pcThbW4PZVHpFzrCjcEY3LoS4fEWobWYpaG8Rpump,2,218460,18139430848446,2106084080,927968934,-1.178115,2223770981.159828,907189816,-1.316581
1784701017102,Doji,FK9BuSuSYiTonDbDC4fb29i7dUgKhA8Gs4scA2TApump,2,119114,7879791846873,1276960269,1265582158,-0.011378,1383746252.051559,1414766856,0.031021
1784701176831,Doji,FK9BuSuSYiTonDbDC4fb29i7dUgKhA8Gs4scA2TApump,1,12644,11094784667637,963205000,1014872048,0.051667,926226104.509155,917091544,-0.009135
1784701307274,Zuki,H4sWWKVMEVAXDPnGpRJU5xWVGtHDEKZKmF3NNmzhpump,5,136114,46898993874194,2946977424,2039334338,-0.907643,4154630230.563751,3217502156,-0.937128
1784701366608,Doji,eHFE2DFAx11Uc2WboXq8FBuqoqGEkBMv6MYdFVjmHCc,1,360324,13196007815675,3690205000,2952610303,-0.737595,3809972940.569046,3646356847,-0.163616
1784702588259,Zuki,H4sWWKVMEVAXDPnGpRJU5xWVGtHDEKZKmF3NNmzhpump,11,748327,41054624699665,4674475989,2370052008,-2.304424,6113944815.154381,1849667525,-4.264277
1784702809864,Zuki,29rLbnhjp7EJyrbtkSVe4s3vzD18dPYCzfhrKA8Ypump,4,71181,23603128528905,1539429554,1395614270,-0.143815,1970181416.594475,1782980391,-0.187201
1784703045819,Zuki,ArepQM8oQKeJwbE9djVzK3H8SneXaAfZxcSswJKDpump,2,17558,27369724798181,1486667512,1681850989,0.195183,1854550162.455223,1811122143,-0.043428
1784703098583,Zuki,3eJkLjHXHubwoZUBEUmpmGbVHRd6tutiqqoVCkoFpump,3,10320,29365902348072,1277345657,889987510,-0.387358,1010472518.261528,880296661,-0.130176
1784703172471,Zuki,3s2XxFiyJGxgMDhn52F5vWTyTBVgXgfM9TkDcr22pump,2,35025,40218383394508,1448117368,534612646,-0.913505,2452579489.800041,377653652,-2.074926
1784703433641,Zuki,6RhX4TEAmvjjgEX8vCC1F1zTqvbPgYrxuiUB5WZipump,1,11300,38774183659837,1894860562,826605595,-1.068255,2776376837.610229,728108327,-2.048269
1784704671864,Zuki,CxJFstnXt4291ppaGB9co61LxNMKpiB3GFDc1hj4pump,13,253999,28378656925021,3466297861,4817346768,1.351049,7314609628.785835,3149102426,-4.165507
1784705016462,Zuki,2CCPVMnjBtP3XkKifz4E5jkuwyhCWr5nNuxDpxaUpump,3,15205,18843238940433,933191389,738050781,-0.195141,1027201561.57235,788025556,-0.239176
1784705230786,Zuki,ggMUEtVB9zMhoDPcW78Vguurgd9eaetuNvA7zK3pump,11,198973,17958471014794,3117933041,2269745463,-0.848188,2885286095.082603,1791281290,-1.094005
1784705522718,Zuki,t2z3DMyBHwivzDYVbyLwcRKQ97e2qCKTJ7YoNuUpump,2,17602,41781333384565,1423378513,1408192975,-0.015186,1565801809.360828,1176987621,-0.388814
1784705781255,Zuki,67FNunUy9YgY4GYYj2giqAfdJy3ZzcDKm5FgECUvpump,3,33006,12841260192899,2017680324,1237579009,-0.780101,1797572762.672333,1035078021,-0.762495
1784706188129,Doji,G1UCfhd6TUeV1N4D5io9kE1Q41xtrkEtyDRPqZrCpump,2,109001,11545531604236,2483111070,2415139565,-0.067972,2622006831.741364,2430515682,-0.191491
1784706539651,Doji,DzaCFBhui4eNM6VDUGSnBUmoEXde12n5ydXF3yr8pump,3,420748,14387296433020,1545222543,1419990221,-0.125232,1909815879.210869,1280376362,-0.62944
1784706591752,Doji,G1UCfhd6TUeV1N4D5io9kE1Q41xtrkEtyDRPqZrCpump,4,345454,10082315382332,2421474775,2165703695,-0.255771,2441391395.100586,2288369346,-0.153022
1784706954928,Zuki,BDoMSXAjtG8N7NGghA2a6eGzGzSXqTZMs5q3FwdYpump,5,77128,42161511207266,2419515055,665955044,-1.75356,3223865652.119942,699640942,-2.524225
1784707007064,Doji,CVk7Y2SqZ2yV11vLf2AMRsfgGf2JZuxx1zMwgF5wpump,2,184464,12746434639979,1000170940,893573626,-0.106597,960808452.193596,640610079,-0.320198
1784707025081,Zuki,BDoMSXAjtG8N7NGghA2a6eGzGzSXqTZMs5q3FwdYpump,4,45440,8666864615373,488820000,1436595074,0.947775,403134269.929184,1173158155,0.770024
1784707069875,Doji,4E2s637xGgE2oaN1ezFkyBuPHG3aU7opQgqnSu3xpump,1,6409,7443988921984,526723278,493610065,-0.033113,453541299.386482,424220592,-0.029321
1784707635978,Doji,7a3v2DmHEbhfvCff4RAtxabm35X5LbwcSQrGf57Lpump,1,99946,2682324014693,690678908,585992050,-0.104687,710171145.819046,744687105,0.034516
1784707682341,Doji,7a3v2DmHEbhfvCff4RAtxabm35X5LbwcSQrGf57Lpump,1,24492,1495732307749,446195576,943033977,0.496838,451889277.746857,954226540,0.502337
1784707729830,Doji,EViyZjjDxmEqir6R3GgXs5cc5gGEiEFwNUVj4dS3pump,1,78458,6383938251449,696588939,265705691,-0.430883,659174940.131851,257415030,-0.40176
1784707753515,Doji,7a3v2DmHEbhfvCff4RAtxabm35X5LbwcSQrGf57Lpump,1,12437,1657506306801,481731180,1017650145,0.535919,523589593.819901,1056638364,0.533049
1784707850806,Doji,7a3v2DmHEbhfvCff4RAtxabm35X5LbwcSQrGf57Lpump,1,39869,3030791977567,675844912,720498375,0.044653,731998443.346085,602830939,-0.129168
